Unnamed: 0,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Theme
66,307950,KR7307950006,현대오토에버,KOSPI,,442500,1,19500,4.61,432000,445000,425500,93249,40630933250,12135112035000,27423982,STK,기타
67,259960,KR7259960003,크래프톤,KOSPI,,255000,2,-6500,-2.49,263500,266500,252500,134683,34529915750,12088553205000,47406091,STK,기타
68,323410,KR7323410001,카카오뱅크,KOSPI,,24950,2,-200,-0.8,25200,25350,24700,584874,14617876475,11904154903150,477120437,STK,기타
69,005830,KR7005830005,DB손해보험,KOSPI,,170700,2,-1900,-1.1,171300,172000,168000,232006,39465608550,11843848800000,69384000,STK,기타
70,039490,KR7039490008,키움증권,KOSPI,,451500,1,8500,1.92,446000,454000,440000,156523,70171083250,11834580744000,26211696,STK,기타
73,352820,KR7352820005,하이브,KOSPI,,249000,2,-6000,-2.35,258000,258000,244000,456634,113853216000,10732460001000,43102249,STK,기타
74,006260,KR7006260004,LS,KOSPI,,337500,1,5500,1.66,337000,344000,333500,134018,45360875250,10530000000000,31200000,STK,기타
75,443060,KR7443060009,HD현대마린솔루션,KOSPI,,230000,1,34300,17.53,198500,234000,195900,718701,156302987400,10311207050000,44831335,STK,기타
76,003230,KR7003230000,삼양식품,KOSPI,,1359000,2,-18000,-1.31,1390000,1405000,1351000,42705,58255574500,10237367385000,7533015,STK,기타
77,028050,KR7028050003,삼성E&A,KOSPI,,51700,1,2400,4.87,49900,52400,49700,3496390,179264414250,10133200000000,196000000,STK,기타
78,011070,KR7011070000,LG이노텍,KOSPI,,425000,1,15500,3.79,414500,429500,409000,201193,85041994500,10058520475000,23667107,STK,기타
79,016360,KR7016360000,삼성증권,KOSPI,,110400,1,1200,1.1,110600,110900,108700,245532,26993307050,9858720000000,89300000,STK,기타
80,000880,KR7000880005,한화,KOSPI,,130500,1,800,0.62,130300,132500,129100,173452,22594844766,9782114917500,74958735,STK,기타
81,007660,KR7007660004,이수페타시스,KOSPI,,133200,2,-100,-0.08,134800,134800,128100,1601126,209697203900,9778107970800,73409219,STK,기타
82,003490,KR7003490000,대한항공,KOSPI,,25600,1,550,2.2,25300,25775,25250,1462650,37301159125,9426448921600,368220661,STK,기타
84,005387,KR7005382007,현대차2우B,KOSPI,,257000,1,8000,3.21,249500,257000,247500,219696,55318624250,8985730010000,34963930,STK,기타
87,267270,KR7267270007,HD건설기계,KOSPI,,176200,1,11300,6.85,165700,178000,164800,635269,110178235050,8453039591600,47974118,STK,기타
89,326030,KR7326030004,SK바이오팜,KOSPI,,102000,2,-1000,-0.97,103200,103900,101000,214956,21896305700,7987951500000,78313250,STK,기타
90,180640,KR7180640005,한진칼,KOSPI,,119000,1,2700,2.32,116400,122000,116400,105661,12665448800,7944711201000,66762279,STK,기타
91,066970,KR7066970005,엘앤에프,KOSPI,,196400,1,12700,6.91,189100,197000,180000,1447273,276885509750,7919846694000,40325085,STK,기타
92,009830,KR7009830001,한화솔루션,KOSPI,,45450,1,2450,5.7,43650,45900,43000,3871235,172952862325,7812515761200,171892536,STK,기타
93,001440,KR7001440007,대한전선,KOSPI,,41550,1,1150,2.85,40600,42850,40500,10874584,452046865200,7746885315000,186447300,STK,기타
94,377300,KR7377300009,카카오페이,KOSPI,,57000,1,500,0.88,57500,57800,56300,226277,12854699700,7708985919000,135245367,STK,기타
95,161390,KR7161390000,한국타이어앤테크놀로지,KOSPI,,62100,1,2800,4.72,59400,62600,59300,254631,15668629650,7692641784900,123875069,STK,기타
96,000100,KR7000100008,유한양행,KOSPI,,96500,2,-600,-0.62,97100,97700,96300,177303,17151211700,7685993496500,79647601,STK,기타
97,090430,KR7090430000,아모레퍼시픽,KOSPI,,130600,2,-100,-0.08,131500,132000,129400,212744,27741255050,7639154325400,58492759,STK,기타
